Result,Record,Opponent,Method,Event,Date,Round,Time,Location,Notes
Loss,22–4–1 (1),Colby Covington,Decision (unanimous),UFC Fight Night: Holm vs. Correia,"June 17, 2017",3,5:00,Kallang,
Win,22–3–1 (1),Tarec Saffiedine,Decision (split),UFC 207,"December 30, 2016",3,5:00,"Las Vegas, Nevada",
Win,21–3–1 (1),Dominic Waters,TKO (punches),UFC Fight Night: Henderson vs. Masvidal,"November 28, 2015",1,3:11,Seoul,
Win,20–3–1 (1),Joshua Burkman,Submission (arm-triangle choke),UFC 187,"May 23, 2015",3,2:13,"Las Vegas, Nevada",
Loss,19–3–1 (1),Tyron Woodley,TKO (punches),UFC Fight Night: Bisping vs. Le,"August 23, 2014",1,1:01,Macau,
Win,19–2–1 (1),John Hathaway,KO (spinning back elbow),The Ultimate Fighter China Finale: Kim vs. Hathaway,"March 1, 2014",3,1:02,Macau,Performance of the Night.
Win,18–2–1 (1),Erick Silva,KO (punch),UFC Fight Night: Maia vs. Shields,"October 9, 2013",2,3:01,Barueri,Knockout of the Night.
Win,17–2–1 (1),Siyar Bahadurzada,Decision (unanimous),UFC on Fuel TV: Silva vs. Stann,"March 3, 2013",3,5:00,Saitama,
Win,16–2–1 (1),Paulo Thiago,Decision (unanimous),UFC on Fuel TV: Franklin vs. Le,"November 10, 2012",3,5:00,Macau,
Loss,15–2–1 (1),Demian Maia,TKO (muscle spasm),UFC 148,"July 7, 2012",1,0:47,"Las Vegas, Nevada",
Win,15–1–1 (1),Sean Pierson,Decision (unanimous),UFC 141,"December 30, 2011",3,5:00,"Las Vegas, Nevada",
Loss,14–1–1 (1),Carlos Condit,KO (flying knee and punches),UFC 132,"July 2, 2011",1,2:58,"Las Vegas, Nevada",
Win,14–0–1 (1),Nate Diaz,Decision (unanimous),UFC 125,"January 1, 2011",3,5:00,"Las Vegas, Nevada",
Win,13–0–1 (1),Amir Sadollah,Decision (unanimous),UFC 114,"May 29, 2010",3,5:00,"Las Vegas, Nevada",
Win,12–0–1 (1),TJ Grant,Decision (unanimous),UFC 100,"July 11, 2009",3,5:00,"Las Vegas, Nevada",
NC,11–0–1 (1),Karo Parisyan,NC (overturned),UFC 94,"January 31, 2009",3,5:00,"Las Vegas, Nevada",Originally a split decision win for Parisyan; overturned after he tested positive for banned painkillers.
Win,11–0–1,Matt Brown,Decision (split),UFC 88,"September 6, 2008",3,5:00,"Atlanta, Georgia",
Win,10–0–1,Jason Tan,TKO (elbows),UFC 84,"May 24, 2008",3,0:25,"Las Vegas, Nevada",
Draw,9–0–1,Hidehiko Hasegawa,Draw,Deep: 32 Impact,"October 9, 2007",3,5:00,Tokyo,For the Deep Welterweight Championship
Win,9–0,Hidehiko Hasegawa,KO (slam and punches),Deep: 31 Impact,"August 5, 2007",3,4:57,Tokyo,Welterweight debut.
Win,8–0,Yukiharu Maejima,KO (punches),Deep: CMA Festival 2,"July 23, 2007",1,0:11,Tokyo,
Win,7–0,Hidenobu Koike,KO (punch),Deep: 28 Impact,"February 16, 2007",2,4:33,Tokyo,
Win,6–0,Jun Ando,TKO (punches),Deep: 27 Impact,"December 20, 2006",2,0:44,Tokyo,
Win,5–0,Kousei Kubota,KO (knee),Deep: 26 Impact,"October 10, 2006",1,2:46,Tokyo,
Win,4–0,Tomoyoshi Iwamiya,Decision (unanimous),Deep: 25 Impact,"August 4, 2006",2,5:00,Tokyo,
Win,3–0,Mitsunori Tanimura,Submission (rear-naked choke),Deep: CMA Festival,"May 24, 2006",1,4:28,Tokyo,
Win,2–0,Hyung-Kwang Kim,Decision (unanimous),Spirit MC 5: 2004 GP Unlimited,"September 11, 2004",3,5:00,Seoul,
Win,1–0,Young-Ahm Noh,Decision (unanimous),Spirit MC 3: I Will Be Back!!!,"April 10, 2004",3,5:00,Seoul,
